Status,Agent Name,Call Start Time,Call End Time,Calling Number,Waiting Time in Seconds,Techline Team
Answered,Pooja Reddy,2025-08-22 10:27:49,2025-08-22 10:41:16,8784868252,92,Spark Plug
Abandoned,Arjun Mehta,2025-07-19 09:15:27,2025-07-19 09:15:27,8131630538,444,Filter
Answered,Rahul Verma,2026-06-21 02:59:25,2026-06-21 03:16:41,7673867704,170,Lighting
Answered,Meera Pillai,2026-02-26 05:51:51,2026-02-26 06:16:46,9927340606,24,Towing
Failed,Priya Sharma,2026-01-02 04:55:07,2026-01-02 04:55:07,7363679122,52,Brakes
Diverted,Arjun Mehta,2023-03-30 00:21:00,2023-03-30 00:26:35,7461030290,84,Lighting
Abandoned,Rahul Verma,2023-11-13 16:21:16,2023-11-13 16:21:21,7764764331,319,Wiper
Failed,Vikram Das,2025-12-09 20:04:06,2025-12-09 20:04:06,9764373749,28,Lighting
Diverted,Rahul Verma,2025-10-19 17:39:16,2025-10-19 17:43:51,9893697394,76,Filter
Diverted,Arjun Mehta,2024-12-16 21:04:46,2024-12-16 21:08:46,9870309429,49,Filter
Abandoned,Rahul Verma,2023-12-15 05:35:39,2023-12-15 05:35:43,8830943021,480,Filter
Advanced,Ananya Nair,2024-05-07 10:53:46,2024-05-07 11:43:05,8254349157,19,Lighting
Failed,Priya Sharma,2026-04-18 11:48:55,2026-04-18 11:48:55,7186351554,39,Filter
Failed,Pooja Reddy,2023-09-01 22:53:44,2023-09-01 22:53:44,7104651697,57,Spark Plug
Answered,Ravi Kumar,2023-05-06 18:11:02,2023-05-06 18:31:12,9033278666,82,Lighting
Abandoned,Pooja Reddy,2023-07-08 00:40:30,2023-07-08 00:40:31,7327008739,427,Filter
Failed,Lakshmi Krishnan,2023-05-26 07:08:01,2023-05-26 07:08:01,8199552246,71,Spark Plug
Advanced,Lakshmi Krishnan,2025-12-18 22:52:44,2025-12-18 23:21:25,8089328315,15,Brakes
Diverted,Pooja Reddy,2025-07-10 22:41:03,2025-07-10 22:43:54,7549324268,36,Spark Plug
Advanced,Lakshmi Krishnan,2023-09-15 13:35:36,2023-09-15 14:02:13,9585696827,37,Lighting
Answered,Sneha Iyer,2025-07-18 05:02:26,2025-07-18 05:04:42,7722514375,135,Brakes
Answered,Manoj Pillai,2023-08-13 11:38:16,2023-08-13 11:49:26,7244686434,144,Brakes
Abandoned,Arjun Mehta,2024-06-09 07:14:19,2024-06-09 07:14:24,7276916994,481,Brakes
Answered,Karthik Rao,2023-06-06 02:08:54,2023-06-06 02:25:37,7369199103,54,Lighting
Advanced,Manoj Pillai,2024-10-14 12:53:21,2024-10-14 13:30:19,7016005946,96,Filter
Advanced,Arjun Mehta,2024-05-23 18:51:49,2024-05-23 19:41:29,7316425049,197,Wiper
Answered,Manoj Pillai,2023-10-09 21:18:27,2023-10-09 21:42:02,8251304703,88,Spark Plug
Failed,Vikram Das,2023-11-02 12:41:55,2023-11-02 12:41:55,9451562647,95,Filter
Failed,Priya Sharma,2023-03-03 23:58:35,2023-03-03 23:58:35,9274604520,150,Towing
Answered,Lakshmi Krishnan,2025-07-06 19:43:29,2025-07-06 19:54:44,9070114798,107,Spark Plug
Failed,Divya Menon,2024-08-24 18:13:45,2024-08-24 18:13:45,7339300304,61,Lighting
Advanced,Meera Pillai,2026-06-30 07:20:26,2026-06-30 07:23:53,8479648297,267,Wiper
Failed,Aditya Singh,2026-06-24 23:28:30,2026-06-24 23:28:30,9613567319,78,Filter
Diverted,Ananya Nair,2023-02-16 04:00:46,2023-02-16 04:01:26,9573802590,19,Lighting
Advanced,Pooja Reddy,2024-05-27 17:22:37,2024-05-27 17:35:58,7426363396,57,Filter
Advanced,Divya Menon,2023-09-01 18:54:42,2023-09-01 19:02:10,9742890538,14,Filter
Answered,Rahul Verma,2024-04-25 00:49:33,2024-04-25 01:16:46,8395721905,32,Brakes
Answered,Sneha Iyer,2025-12-24 06:04:28,2025-12-24 06:30:22,7556857030,156,Towing
Advanced,Divya Menon,2025-03-03 20:19:50,2025-03-03 20:42:42,8921913838,67,Wiper
Answered,Pooja Reddy,2025-07-26 06:45:06,2025-07-26 07:14:05,8056593618,160,Filter
Abandoned,Pooja Reddy,2024-06-21 10:23:01,2024-06-21 10:23:06,8984094360,234,Wiper
Failed,Rahul Verma,2023-12-04 10:14:04,2023-12-04 10:14:04,8070824730,41,Towing
Answered,Aditya Singh,2026-05-23 10:15:40,2026-05-23 10:37:43,8623831153,58,Brakes
Abandoned,Manoj Pillai,2025-08-10 21:36:51,2025-08-10 21:36:55,8563371548,410,Lighting
Answered,Vikram Das,2026-06-28 11:58:56,2026-06-28 12:02:13,8939214244,11,Spark Plug
Advanced,Sneha Iyer,2023-01-27 09:48:11,2023-01-27 10:14:12,8440291564,136,Filter
Advanced,Sneha Iyer,2025-04-27 00:31:08,2025-04-27 00:41:04,9801541916,83,Wiper
Answered,Vikram Das,2024-06-16 04:51:48,2024-06-16 05:21:14,8577750449,34,Lighting
Abandoned,Priya Sharma,2026-04-04 01:42:01,2026-04-04 01:42:03,7393259541,288,Towing
Failed,Aditya Singh,2025-11-27 20:02:12,2025-11-27 20:02:12,8704437838,198,Lighting
Answered,Meera Pillai,2023-06-30 00:03:58,2023-06-30 00:06:19,7633047233,168,Brakes
Diverted,Vikram Das,2024-10-03 20:10:33,2024-10-03 20:16:43,8977244040,76,Filter
Diverted,Lakshmi Krishnan,2023-09-22 21:19:05,2023-09-22 21:20:50,8061923587,83,Brakes
Diverted,Meera Pillai,2025-07-31 04:50:19,2025-07-31 05:00:13,9120316489,2,Wiper
Answered,Meera Pillai,2026-05-12 04:38:34,2026-05-12 04:55:05,8671902503,118,Brakes
Advanced,Sneha Iyer,2026-02-06 21:37:01,2026-02-06 22:21:27,9402140788,294,Towing
Abandoned,Suresh Babu,2023-06-26 20:26:03,2023-06-26 20:26:06,7628095274,449,Wiper
Advanced,Ravi Kumar,2024-11-30 09:39:23,2024-11-30 09:42:45,8828640956,92,Brakes
Failed,Priya Sharma,2024-12-28 12:33:44,2024-12-28 12:33:44,7155054209,198,Spark Plug
Advanced,Divya Menon,2025-01-01 05:01:45,2025-01-01 05:08:19,8009829278,200,Wiper
Advanced,Meera Pillai,2023-06-01 08:21:50,2023-06-01 09:05:28,9864885297,178,Towing
Answered,Karthik Rao,2024-03-31 09:35:43,2024-03-31 09:51:06,7577007914,2,Wiper
Abandoned,Sneha Iyer,2023-05-27 16:11:58,2023-05-27 16:12:01,8654799015,356,Towing
Advanced,Meera Pillai,2024-10-16 23:30:11,2024-10-17 00:04:18,8195602657,288,Brakes
Abandoned,Ananya Nair,2024-02-25 14:00:53,2024-02-25 14:00:54,8300389736,157,Brakes
Advanced,Lakshmi Krishnan,2023-08-17 21:34:06,2023-08-17 22:15:29,7689639747,154,Wiper
Answered,Sneha Iyer,2024-08-14 13:10:41,2024-08-14 13:28:29,8098506341,164,Towing
Answered,Pooja Reddy,2025-07-08 06:01:27,2025-07-08 06:04:07,9835087712,148,Spark Plug
Failed,Manoj Pillai,2024-12-05 23:09:18,2024-12-05 23:09:18,7776400117,198,Spark Plug
Answered,Arjun Mehta,2024-10-14 03:33:36,2024-10-14 03:56:57,9372116316,159,Brakes
Answered,Priya Sharma,2024-03-21 16:01:51,2024-03-21 16:21:31,8501446846,123,Wiper
Advanced,Divya Menon,2024-02-08 14:16:15,2024-02-08 14:48:14,9731536489,233,Lighting
Diverted,Meera Pillai,2025-09-25 17:04:15,2025-09-25 17:06:45,9582534279,15,Towing
Advanced,Karthik Rao,2023-05-12 01:54:51,2023-05-12 02:42:52,7514568453,30,Brakes
Failed,Meera Pillai,2026-03-20 21:11:34,2026-03-20 21:11:34,9389806341,14,Lighting
Answered,Sneha Iyer,2025-07-20 05:27:53,2025-07-20 05:48:49,9721140931,27,Spark Plug
Answered,Priya Sharma,2023-06-08 12:33:15,2023-06-08 12:38:55,7170299062,113,Lighting
Failed,Manoj Pillai,2023-09-06 17:34:14,2023-09-06 17:34:14,7856679800,176,Lighting
Abandoned,Ravi Kumar,2024-12-21 03:25:53,2024-12-21 03:25:57,8554169023,124,Lighting
Answered,Ravi Kumar,2025-03-06 18:36:26,2025-03-06 19:03:56,7872052977,52,Brakes
Answered,Lakshmi Krishnan,2024-08-07 19:58:31,2024-08-07 20:02:52,8987368056,127,Spark Plug
Answered,Aditya Singh,2025-06-30 10:54:24,2025-06-30 11:05:16,8507254067,16,Filter
Diverted,Priya Sharma,2024-03-18 06:12:19,2024-03-18 06:20:12,8490628439,23,Wiper
Diverted,Rahul Verma,2023-01-06 15:23:37,2023-01-06 15:24:27,9909928901,112,Wiper
Abandoned,Suresh Babu,2025-10-01 12:44:26,2025-10-01 12:44:30,9307552063,188,Towing
Abandoned,Karthik Rao,2025-11-20 18:18:52,2025-11-20 18:18:54,9981241436,404,Towing
Diverted,Priya Sharma,2024-10-14 15:06:36,2024-10-14 15:08:48,9937402651,77,Brakes
Failed,Pooja Reddy,2023-12-03 09:54:18,2023-12-03 09:54:18,8748152999,139,Towing
Abandoned,Lakshmi Krishnan,2023-04-02 08:31:13,2023-04-02 08:31:15,9528157160,111,Towing
Advanced,Rahul Verma,2024-01-09 01:38:54,2024-01-09 02:21:43,8295137646,79,Lighting
Failed,Aditya Singh,2024-11-01 18:37:29,2024-11-01 18:37:29,9360053328,14,Wiper
Abandoned,Vikram Das,2024-10-03 04:09:47,2024-10-03 04:09:50,7196852415,238,Lighting
Advanced,Priya Sharma,2025-11-10 23:54:28,2025-11-11 00:12:08,7964010452,150,Wiper
Advanced,Divya Menon,2023-07-13 09:33:30,2023-07-13 09:50:41,8459689025,265,Lighting
Diverted,Lakshmi Krishnan,2025-09-06 12:17:11,2025-09-06 12:25:54,8268778288,85,Filter
Answered,Rahul Verma,2025-06-26 04:12:12,2025-06-26 04:15:12,7280018530,51,Filter
Failed,Ananya Nair,2023-04-24 22:19:34,2023-04-24 22:19:34,9514812190,190,Filter
Answered,Arjun Mehta,2023-09-20 01:05:25,2023-09-20 01:12:39,8698796982,105,Wiper
Answered,Meera Pillai,2024-11-29 18:13:42,2024-11-29 18:31:12,7047517733,70,Lighting
Advanced,Lakshmi Krishnan,2023-05-23 04:38:01,2023-05-23 05:19:23,8359073454,215,Wiper
Advanced,Pooja Reddy,2025-02-24 05:50:01,2025-02-24 06:02:01,8611509929,205,Lighting
Diverted,Meera Pillai,2025-12-01 10:43:59,2025-12-01 10:50:26,8871261269,63,Towing
Diverted,Lakshmi Krishnan,2026-01-08 01:19:00,2026-01-08 01:22:38,9045460534,115,Lighting
